brand,model,year,engine_cc,price_usd_estimate,ride_type,stars,pros,cons,comment,reviewer,review_date,fuel_km_per_l,weight_kg
Honda,CB500X,2023,471,6999,Adventure,4.5,"Reliable, comfortable upright riding position, good fuel economy","Limited top speed for highway touring, average wind protection","A very solid all-rounder for new and experienced riders who want light adventure capability without breaking the bank.",Alex J,2024-08-12,24.7,195.0
Yamaha,MT-07,2024,689,7599,Naked,4.7,"Playful torque-rich engine, lightweight chassis, great value","Minimal touring comfort, basic electronics compared to competitors","Impossibly fun in twisties and easy to ride every day — the MT-07 remains a top pick for riders wanting excitement on a budget.",Sam R,2025-03-02,21.0,182.8
Kawasaki,Z900RS,2022,948,11499,Retro/Naked,4.6,"Classic styling with modern performance, comfortable ergonomics","Heavier than some peers, pricier maintenance parts","A beautiful blend of old-school looks and modern performance; great for relaxed long weekend rides.",Priya K,2023-11-16,18.9,211.6
BMW,R1250GS,2023,1254,17995,Adventure-Touring,4.8,"Outstanding long-distance comfort, advanced electronics, powerful boxer torque","High purchase price, heavy at low speeds","The gold standard for long-distance adventure touring — confidence-inspiring but costly to buy and maintain.",Marco L,2024-05-20,22.6,259.8
Ducati,Panigale V2,2024,955,14995,Sport,4.4,"Sharp handling, impressive brakes, premium fit and finish","Aggressive ergonomics not ideal for long rides, higher running costs","A grin-inducing track-capable sportbike that also surprisingly handles well on the road when ridden carefully.",Emily W,2024-09-01,13.1,179.2
Triumph,Bonneville T120,2021,1200,12500,Classic,4.3,"Iconic styling, refined twin, comfortable for relaxed cruising","Not focused on high performance, heavier than smaller classics","Perfect for riders seeking style and a relaxed riding experience rather than outright speed.",Jared P,2022-06-10,23.4,220.5
Suzuki,GSX-S750,2023,749,8599,Street/Naked,4.2,"Strong midrange, good value, lightweight feel","Less advanced electronics than rivals, firm suspension for some riders","A great all-around streetfighter that balances performance and practicality at a fair price.",Nina T,2024-02-18,18.7,203.7
Harley-Davidson,Iron 883,2022,883,9999,Cruiser,3.9,"Authentic cruiser feel, low seat height, easy to customize","Vibrations at highway speeds, outdated tech compared to modern bikes","A timeless-looking cruiser for those who value style and personality over outright performance.",Omar H,2023-07-04,17.0,255.7
KTM,390 Duke,2024,373,5499,Street/Naked,4.1,"Extremely light, sharp handling, modern TFT dash","Smaller engine not ideal for long highway runs, firm ride","An exceptionally fun city bike that punches above its weight and is perfect for new riders wanting high spec.",Leah M,2025-01-11,29.7,169.3
MV Agusta,Brutale 800,2023,798,16995,Naked/Sport,4.0,"Exquisite design, aggressive performance, premium components","High price for displacement, less comfortable as a daily commuter","A head-turning machine with a soundtrack and presence to match — best as a weekend/enthusiast bike.",Carlos V,2024-10-05,14.9,190.5
Aprilia,RS 660,2022,659,11500,Sport,4.5,"Great balance of performance and usability, modern electronics","Still a mid-displacement bike; not full superbike power","A superb middleweight sportbike that covers sport and weekend touring duties well.",Marta S,2023-03-22,16.5,183.0
Indian,Scout Sixty,2021,999,9239,Cruiser,4.0,"Classic cruiser vibe, comfortable ergonomics","Lower power than big V-twins, basic electronics","Solid cruiser for riders who want classic styling at a lower price point.",Derek F,2022-11-08,15.2,231.0
Royal Enfield,CONCEPT,2024,650,6799,Classic,3.8,"Strong retro appeal, affordable","Build quality sometimes inconsistent, average performance","Good value for classic styling, but expect compromises in fit/finish.",Anita V,2024-06-15,22.0,198.0
Husqvarna,Vitpilen 401,2023,373,5399,Naked,4.1,"Minimalist design, light and nimble","Short windscreen, limited long-distance comfort","An urban-focused machine that looks great and is fun around town.",Ibrahim K,2023-09-30,28.0,160.0
Bajaj,Pulsar NS200,2022,199,1999,Street/Naked,3.7,"Affordable, peppy small-displacement engine","Basic fit/finish compared to premium brands","An excellent budget option in emerging markets.",Rina S,2022-12-12,27.5,144.0
Hero,XPulse 200,2023,199,2399,Adventure,3.9,"Lightweight, great for rough roads, cheap to run","Less power on highway, basic components","A competent low-cost adventure bike for rough roads and trails.",Manoj P,2023-08-05,30.2,148.5
CFMoto,MT650,2024,650,5799,Naked,4.0,"Strong value proposition, decent performance","Brand recognition still growing, dealer support varies","Great entry-level midweight for riders who want a value-packed machine.",Olga R,2024-02-14,19.5,201.0
Benelli,TRK502,2021,500,6499,Adventure,3.8,"Comfortable touring posture, good luggage options","Heavier than comparable twins, build quality variable","A touring-focused machine with solid comfort for long rides on a budget.",Hugo G,2022-04-07,22.8,231.5
Norton,Commando 961,2023,961,17999,Classic,4.2,"Handbuilt feel, unique character","Extremely expensive, limited dealer network","A boutique classic with charm—best for collectors and enthusiasts.",Claire B,2024-01-19,15.8,205.0
Bimota,KB4,2022,1000,24990,Sport,4.1,"Exotic design, premium components","Very high price, niche appeal","A beautiful, limited-run sportbike for collectors.",Luca P,2023-05-25,12.3,196.0
Moto Guzzi,V7 Stone,2021,744,7990,Classic,4.0,"Unique transverse V-twin character, comfortable cruiser ergonomics","Not the quickest, dated tech","Great for relaxed cruising with Italian character.",Sofia M,2022-09-10,20.1,210.0
GasGas,EC 300,2024,300,8999,Enduro,4.4,"Lightweight, great off-road capability","Track-focused, not street-friendly without modifications","Excellent off-road-focused machine for trials and enduro.",Pablo D,2024-04-02,16.7,110.0
